# AmberClassic 8e55e97ada48b96eefaec2e6a3fa849018aaeea5; bondtype -j part; atomtype -d bundled ATOMTYPE_GFF2.DEF -a 1
# name	smiles	elements	bonds (zero-based a,b,order)	expected types
methane	C	C,H,H,H,H	0,1,1;0,2,1;0,3,1;0,4,1	c3,hc,hc,hc,hc
ethane	CC	C,C,H,H,H,H,H,H	0,1,1;0,2,1;0,3,1;0,4,1;1,5,1;1,6,1;1,7,1	c3,c3,hc,hc,hc,hc,hc,hc
ethylene	C=C	C,C,H,H,H,H	0,1,2;0,2,1;0,3,1;1,4,1;1,5,1	c2,c2,ha,ha,ha,ha
acetylene	C#C	C,C,H,H	0,1,3;0,2,1;1,3,1	c1,c1,ha,ha
butadiene	C=CC=C	C,C,C,C,H,H,H,H,H,H	0,1,2;1,2,1;2,3,2;0,4,1;0,5,1;1,6,1;2,7,1;3,8,1;3,9,1	c2,ce,ce,c2,ha,ha,ha,ha,ha,ha
hexatriene	C=CC=CC=C	C,C,C,C,C,C,H,H,H,H,H,H,H,H	0,1,2;1,2,1;2,3,2;3,4,1;4,5,2;0,6,1;0,7,1;1,8,1;2,9,1;3,10,1;4,11,1;5,12,1;5,13,1	c2,ce,ce,cf,cf,c2,ha,ha,ha,ha,ha,ha,ha,ha
enone	C=CC(=O)C	C,C,C,O,C,H,H,H,H,H,H	0,1,2;1,2,1;2,3,2;2,4,1;0,5,1;0,6,1;1,7,1;4,8,1;4,9,1;4,10,1	c2,ce,c,o,c3,ha,ha,ha,hc,hc,hc
styrene	C=Cc1ccccc1	C,C,C,C,C,C,C,C,H,H,H,H,H,H,H,H	0,1,2;1,2,1;2,3,2;3,4,1;4,5,2;5,6,1;6,7,2;7,2,1;0,8,1;0,9,1;1,10,1;3,11,1;4,12,1;5,13,1;6,14,1;7,15,1	c2,ce,ca,ca,ca,ca,ca,ca,ha,ha,ha,ha,ha,ha,ha,ha
acrylonitrile	C=CC#N	C,C,C,N,H,H,H	0,1,2;1,2,1;2,3,3;0,4,1;0,5,1;1,6,1	c2,ce,cg,n1,ha,ha,ha
allene	C=C=C	C,C,C,H,H,H,H	0,1,2;1,2,2;0,3,1;0,4,1;2,5,1;2,6,1	c2,c1,c2,ha,ha,ha,ha
benzene	c1ccccc1	C,C,C,C,C,C,H,H,H,H,H,H	0,1,1;1,2,2;2,3,1;3,4,2;4,5,1;5,0,2;0,6,1;1,7,1;2,8,1;3,9,1;4,10,1;5,11,1	ca,ca,ca,ca,ca,ca,ha,ha,ha,ha,ha,ha
pyridine	n1ccccc1	N,C,C,C,C,C,H,H,H,H,H	0,1,2;1,2,1;2,3,2;3,4,1;4,5,2;5,0,1;1,6,1;2,7,1;3,8,1;4,9,1;5,10,1	nb,ca,ca,ca,ca,ca,h4,ha,ha,ha,h4
pyrrole	c1cc[nH]c1	C,C,C,N,C,H,H,H,H,H	0,1,1;1,2,2;2,3,1;3,4,1;4,0,2;0,5,1;1,6,1;2,7,1;3,8,1;4,9,1	cc,cc,cd,na,cd,ha,ha,h4,hn,h4
